vib_x,vib_y,vib_z,temp,prediction,anomaly_score,is_anomaly,magnitude,prediction2,score2,is_anomaly2,temp_haute,prediction3,score3,is_anomaly3
-1.84,-9.96,-1.49,34.75,-1,-0.6597735253817928,True,10.237543650700593,1,-0.45449466312519876,False,0.0,1,-0.4241680806629953,False
-2.51,-9.92,-1.53,34.75,-1,-0.6596822553825141,True,10.346371344582602,1,-0.48806480172291217,False,0.0,1,-0.44620764788203154,False
-1.88,-9.81,-1.49,34.75,-1,-0.6612068398860474,True,10.09903955829464,1,-0.42154607473047984,False,0.0,1,-0.3966223111009492,False
-2.55,-9.92,-1.49,34.75,-1,-0.6601287383939173,True,10.350314004898596,1,-0.48846366726653034,False,0.0,1,-0.4486362930183134,False
-2.16,-10.2,-1.37,34.81,-1,-0.670402599042904,True,10.515821413470276,1,-0.547080335747589,False,0.0,1,-0.4965254012778104,False
-2.12,-9.89,-0.55,34.75,-1,-0.6411968009522739,True,10.129610061596646,1,-0.4275032662493432,False,0.0,1,-0.4033429594365126,False
-1.49,-0.43,9.49,34.75,1,-0.52662408625526,False,9.615877495059928,1,-0.44472746114498074,False,0.0,1,-0.40080437547645875,False
-1.96,-0.08,9.53,34.75,1,-0.5643989877144239,False,9.729794447982957,1,-0.4214590938227977,False,0.0,1,-0.3777102547507133,False
-3.3,-1.73,9.3,34.81,1,-0.5640567171573122,False,10.018627650531784,1,-0.4151971523325244,False,0.0,1,-0.38271211815301365,False
-0.16,-2.86,9.34,34.75,1,-0.4476898458433508,False,9.769380737795,1,-0.40471540467793504,False,0.0,1,-0.37662299546485056,False
-0.94,0.0,9.18,34.75,1,-0.5196920401711801,False,9.228000866926704,1,-0.5625807386444994,False,0.0,1,-0.4960843306331802,False
1.02,-5.18,5.1,34.75,1,-0.4670685017922402,False,7.34049044682983,-1,-0.6734836775281429,True,0.0,-1,-0.6274649907382099,True
1.49,-5.02,8.32,34.75,1,-0.370370439608302,False,9.830712080007226,1,-0.39618090565708397,False,0.0,1,-0.36859572168238064,False
1.53,-0.51,9.89,34.75,1,-0.5223648382917976,False,10.020633712495433,1,-0.4092163372783613,False,0.0,1,-0.38035056359861263,False
0.08,-1.84,9.53,34.75,1,-0.46222894199469905,False,9.7063329841913,1,-0.4221334557080243,False,0.0,1,-0.3837326530658187,False
1.33,-1.69,9.53,34.75,1,-0.47595355595676775,False,9.76964175392322,1,-0.40471540467793504,False,0.0,1,-0.37662299546485056,False
0.35,-1.41,9.77,34.75,1,-0.4818965878144583,False,9.877423753185848,1,-0.39292587704568055,False,0.0,1,-0.3708537377139479,False
0.67,-1.02,9.57,34.75,1,-0.48380430373673905,False,9.647497084736539,1,-0.43733275161951896,False,0.0,1,-0.393339229014884,False
1.06,-1.37,9.53,34.75,1,-0.47761830944783173,False,9.686144743911274,1,-0.43137407841413444,False,0.0,1,-0.3844783071008572,False
0.43,-1.77,9.53,34.75,1,-0.46037078637532247,False,9.70250998453493,1,-0.42587229719039793,False,0.0,1,-0.3838263409294753,False
0.31,-1.18,9.65,34.75,1,-0.4848128453701403,False,9.726818596026144,1,-0.4215413378167583,False,0.0,1,-0.3780731427448274,False
-0.04,-2.04,9.57,34.75,1,-0.465227968570946,False,9.785095809444076,1,-0.40073466346510433,False,0.0,1,-0.37267791796349364,False
